image_num,label,subfolder,w103_000,w103_001,w103_002,w103_010,w103_011,w103_012,w103_020,w103_021,w103_022,w103_100,w103_101,w103_102,w103_110,w103_111,w103_112,w103_120,w103_121,w103_122,w103_200,w103_201,w103_202,w103_210,w103_211,w103_212,w103_220,w103_221,w103_222,w104_EVal0,w104_EVal1,w104_EVal2,w104_EVal3,w104_EVal4,w104_EVal5,msm_ql_0,msm_ql_1,msm_ql_2,msm_ql_3,msm_ql_4,msm_ql_5,msm_ql_6,msm_ql_7,msm_ql_8,msm_wl_0,msm_wl_1,msm_wl_2,msm_wl_3,msm_wl_4,msm_wl_5,msm_wl_6,msm_wl_7,msm_wl_8
634,0,train,-15.0656565657,-18.9646464646,7.92171717172,-18.9646464646,9.56313131313,-1.5,7.92171717172,-1.5,5.50252525253,-18.9646464646,9.56313131313,-1.5,9.56313131313,14.7398989899,-7.94949494949,-1.5,-7.94949494949,4.22474747475,7.92171717172,-1.5,5.50252525253,-1.5,-7.94949494949,4.22474747475,5.50252525253,4.22474747475,0.0277777777778,41.2193494049,50.1595440784,70.096507424,91.6195874293,113.797091829,203.458228094,1.0,4.16461525016e-16,0.146962222609,0.13391008112,0.193815875754,0.109055769404,0.116808058578,0.0691299441904,0.517742406897,1.0,6.47373471194e-23,0.0458378102363,-1.43052095631e-07,0.101432231627,1.0932682521e-07,-0.0309245104645,1.05887157991e-07,0.197692660383
624,0,train,-9.15782828283,13.148989899,12.8674242424,13.148989899,17.1717171717,-0.575757575758,12.8674242424,-0.575757575758,-8.01388888889,13.148989899,17.1717171717,-0.575757575758,17.1717171717,-10.6502525253,-2.13257575758,-0.575757575758,-2.13257575758,-2.49873737374,12.8674242424,-0.575757575758,-8.01388888889,-0.575757575758,-2.13257575758,-2.49873737374,-8.01388888889,-2.49873737374,-10.7348484848,48.2989098742,58.7183867761,83.5961427441,143.861449425,199.27416567,445.971041156,1.0,4.3397487407e-16,0.356123223859,0.0797120853024,0.219120969843,0.0679752560401,0.271526559956,0.0497791446577,0.550364301346,1.0,3.79613587053e-23,-0.212274266493,-1.06161927621e-07,0.107609518694,7.69256766279e-08,-0.0983750391534,-9.81391799337e-08,0.202351373014
68,0,train,-2.11111111111,4.65277777778,17.4583333333,4.65277777778,7.26388888889,-1.77777777778,17.4583333333,-1.77777777778,-5.15277777778,4.65277777778,7.26388888889,-1.77777777778,7.26388888889,-8.76388888889,-3.75,-1.77777777778,-3.75,4.11111111111,17.4583333333,-1.77777777778,-5.15277777778,-1.77777777778,-3.75,4.11111111111,-5.15277777778,4.11111111111,-13.7083333333,37.051231265,68.5757474272,86.91889058,106.464190933,155.325032081,424.549551456,1.0,5.39597358956e-16,0.362750739913,0.071923048164,0.30813287781,0.0650947705751,0.310089034752,0.046828026639,0.594422793605,1.0,1.68759743595e-22,-0.209143438756,-1.10675409493e-07,0.159687335579,-5.96632203422e-08,-0.132379670531,-1.24358482122e-07,0.229555581862
1167,0,train,-16.8232323232,14.678030303,-6.10984848485,14.678030303,8.45328282828,-12.7777777778,-6.10984848485,-12.7777777778,8.36994949495,14.678030303,8.45328282828,-12.7777777778,8.45328282828,-7.08712121212,4.57575757576,-12.7777777778,4.57575757576,-7.59090909091,-6.10984848485,-12.7777777778,8.36994949495,-12.7777777778,4.57575757576,-7.59090909091,8.36994949495,-7.59090909091,1.53409090909,58.4183359755,69.9771422671,114.787428307,150.196932266,165.498293354,347.219590607,1.0,1.48896706099e-15,0.225030967699,0.0912381490764,0.146652773499,0.0728177886034,0.136298608177,0.0705002148974,0.502860288094,1.0,3.13224606468e-22,-0.132402222777,-7.12937097227e-08,0.0737987551189,-7.2460590975e-08,0.0213862401741,-1.37621432365e-07,0.183067147277
119,0,train,-22.7537878788,27.0694444444,-6.5,27.0694444444,11.4810606061,-7.35353535354,-6.5,-7.35353535354,11.2727272727,27.0694444444,11.4810606061,-7.35353535354,11.4810606061,-12.0707070707,7.14015151515,-7.35353535354,7.14015151515,-14.9987373737,-6.5,-7.35353535354,11.2727272727,-7.35353535354,7.14015151515,-14.9987373737,11.2727272727,-14.9987373737,-0.640151515152,61.8002581326,107.761957674,132.927809316,182.734172327,201.002271561,415.327237047,1.0,1.72049864383e-15,0.194080034628,0.1006584111,0.195405809816,0.074879169162,0.131768844278,0.0542038827659,0.525921599136,1.0,1.76902358036e-22,-0.11688127673,-1.48319394228e-07,0.103242400538,5.87826049518e-08,-0.0465069813727,-7.39806549456e-08,0.196995467997
880,0,train,-28.2803030303,9.64898989899,2.18434343434,9.64898989899,22.9848484848,-2.71717171717,2.18434343434,-2.71717171717,5.29545454545,9.64898989899,22.9848484848,-2.71717171717,22.9848484848,-11.0025252525,-2.7095959596,-2.71717171717,-2.7095959596,1.35353535354,2.18434343434,-2.71717171717,5.29545454545,-2.71717171717,-2.7095959596,1.35353535354,5.29545454545,1.35353535354,0.525252525253,41.8480937702,53.8652177693,74.8321945117,120.333752166,154.312721039,302.787649672,1.0,1.72251710609e-15,0.259910418627,0.11492168668,0.229476801707,0.106777063745,0.187624457215,0.0631672808431,0.540232761526,1.0,1.46745914889e-22,-0.15227333326,8.78006640915e-08,0.120480682425,8.8525573815e-08,-0.0583523839633,-6.39562224992e-08,0.201103262845
78,0,train,-19.0164141414,0.444444444444,6.84722222222,0.444444444444,12.904040404,-10.3282828283,6.84722222222,-10.3282828283,6.11237373737,0.444444444444,12.904040404,-10.3282828283,12.904040404,-8.80934343434,-6.77398989899,-10.3282828283,-6.77398989899,8.3648989899,6.84722222222,-10.3282828283,6.11237373737,-10.3282828283,-6.77398989899,8.3648989899,6.11237373737,8.3648989899,-0.0732323232323,62.957674599,86.7586654091,112.362066847,186.340955911,220.089712626,406.476631289,1.0,9.3327890586e-16,0.206835755784,0.0686701289366,0.22297947315,0.0505136949011,0.143684119882,0.041868360049,0.533674969014,1.0,1.98788807353e-22,-0.126715621121,6.16552353401e-08,0.117043964749,6.03006519594e-08,0.0207211822076,-4.02129985417e-08,0.201093309218
1177,0,train,-22.4053030303,-6.23611111111,14.6944444444,-6.23611111111,10.5568181818,-9.43939393939,14.6944444444,-9.43939393939,11.8484848485,-6.23611111111,10.5568181818,-9.43939393939,10.5568181818,-2.15656565657,-6.96843434343,-9.43939393939,-6.96843434343,8.39267676768,14.6944444444,-9.43939393939,11.8484848485,-9.43939393939,-6.96843434343,8.39267676768,11.8484848485,8.39267676768,-7.72601010101,54.0959893054,69.3441840958,93.964355627,149.007238758,193.839541944,354.448951336,1.0,5.26049429586e-16,0.238560715761,0.0943290201995,0.197116926528,0.0738938304109,0.164311469856,0.0564786195433,0.522136208987,1.0,1.47845541872e-22,-0.132295857134,-1.45386259446e-07,0.100005760531,8.07365492964e-08,0.0269786445751,-1.08148553481e-07,0.19370840239
109,0,train,0.666666666666,13.279040404,12.5694444444,13.279040404,7.20833333333,6.89393939394,12.5694444444,6.89393939394,-7.875,13.279040404,7.20833333333,6.89393939394,7.20833333333,-20.8497474747,1.44444444444,6.89393939394,1.44444444444,7.57070707071,12.5694444444,6.89393939394,-7.875,6.89393939394,1.44444444444,7.57070707071,-7.875,7.57070707071,-14.0138888889,47.0627056582,76.2130619231,97.4054728357,143.905145861,212.929305137,443.002941372,1.0,1.17528920377e-15,0.312113764498,0.0765291596996,0.238539465063,0.0662475707965,0.232783147456,0.0451888864285,0.555189605847,1.0,4.7988212014e-23,-0.18527617385,1.0112381775e-07,0.122226741101,8.23887677741e-08,-0.0765106079308,-8.67885570379e-08,0.204787412842
307,0,train,9.87878787879,-7.83333333333,14.1767676768,-7.83333333333,-2.75,4.16666666667,14.1767676768,4.16666666667,-7.12878787879,-7.83333333333,-2.75,4.16666666667,-2.75,2.0,0.305555555556,4.16666666667,0.305555555556,5.83333333333,14.1767676768,4.16666666667,-7.12878787879,4.16666666667,0.305555555556,5.83333333333,-7.12878787879,5.83333333333,-14.4823232323,36.1210482812,50.5548085248,73.3811418396,108.96034858,143.904372278,370.733876428,1.0,9.44646478066e-16,0.366294089961,0.0776211449671,0.258263511493,0.0683075335914,0.29448853069,0.0480756650317,0.570080913847,1.0,8.43068197679e-23,-0.224514823228,1.05441696695e-07,0.127884391424,-7.5088843284e-08,-0.120504339236,-1.03609750032e-07,0.215737160432
